City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,baruun-urt,46.6806,113.2792,1.79,57,100,6.01,MN,1681413556
109,upernavik,72.7868,-56.1549,-7.11,86,100,2.07,GL,1681413556
110,ilhabela,-23.7781,-45.3581,25.81,79,2,1.68,BR,1681413556
111,imbituba,-28.24,-48.6703,27.14,84,58,5.25,BR,1681413556
112,irara,-12.05,-38.7667,27.17,71,54,4.77,BR,1681413556
113,mount holly,35.2982,-81.0159,27.3,31,75,4.12,US,1681413557
114,sistranda,63.7256,8.834,7.98,72,100,14.61,NO,1681413557
115,oromocto,45.8351,-66.4792,19.08,27,75,5.81,CA,1681413557
116,airai,-8.9266,125.4092,15.77,94,48,0.86,TL,1681413557
117,pangnirtung,66.1451,-65.7125,-8.0,73,75,1.54,CA,1681413558
118,tra vinh,9.9347,106.3453,26.3,80,90,1.66,VN,1681413558
119,lucea,18.451,-78.1736,29.92,68,19,2.69,JM,1681413558
120,vostok,46.4856,135.8833,-4.5,98,43,1.03,RU,1681413558
121,gat,31.61,34.7642,14.38,100,0,1.9,IL,1681413420
122,ucluelet,48.9329,-125.5528,8.38,77,83,0.89,CA,1681413558
123,lavrentiya,65.5833,-171.0,-19.94,87,14,3.14,RU,1681413559
124,zhezkazgan,47.8043,67.7144,13.56,35,100,5.14,KZ,1681413559
125,hasaki,35.7333,140.8333,14.56,70,18,8.42,JP,1681413559
126,lebu,-37.6167,-73.65,15.57,82,55,3.12,CL,1681413559
127,pochutla,15.7432,-96.4661,31.57,40,10,4.76,MX,1681413559
128,cidreira,-30.1811,-50.2056,19.57,84,100,5.32,BR,1681413292
129,port blair,11.6667,92.75,27.06,76,26,1.64,IN,1681413560
130,lompoc,34.6391,-120.4579,19.27,57,20,7.72,US,1681413533
131,cayenne,4.9333,-52.3333,27.02,89,75,1.54,GF,1681413560
132,falmouth,50.1544,-5.0711,9.32,79,75,5.66,GB,1681413560
133,husavik,66.0449,-17.3389,3.25,90,100,2.73,IS,1681413561
134,hualmay,-11.0964,-77.6139,26.53,69,37,5.77,PE,1681413561
135,ayni,39.3941,68.5377,14.4,44,16,3.25,TJ,1681413561
136,okhotsk,59.3833,143.3,-8.9,90,100,3.65,RU,1681413561
137,yellowknife,62.456,-114.3525,-3.71,80,100,3.6,CA,1681413561
138,guangyuan,32.442,105.823,15.58,79,100,2.56,CN,1681413561
139,faanui,-16.4833,-151.75,27.46,72,16,4.29,PF,1681413562
140,nong chik,6.8436,101.178,25.43,91,37,2.12,TH,1681413562
141,coquimbo,-29.9533,-71.3436,18.85,72,0,5.14,CL,1681413300
142,el colomo,19.05,-104.25,26.99,44,0,3.93,MX,1681413562
143,havre-saint-pierre,50.2334,-63.5986,2.2,80,100,6.69,CA,1681413562
144,gusinoye ozero,51.1144,106.2614,-6.14,59,2,1.09,RU,1681413562
145,bethel,41.3712,-73.414,31.86,30,0,7.2,US,1681413517
146,taganak,6.0833,118.3,25.08,72,92,3.42,PH,1681413563
147,vallenar,-28.5708,-70.7581,27.91,26,0,5.13,CL,1681413563
148,tarauaca,-8.1614,-70.7656,31.76,56,100,2.27,BR,1681413296
149,reidsville,36.3549,-79.6645,28.31,24,0,0.0,US,1681413563
150,nikolskoye,59.7035,30.7861,3.94,71,100,4.8,RU,1681413563
151,fontem,5.4685,9.8818,21.62,85,3,0.23,CM,1681413564
152,emerald,-23.5333,148.1667,16.68,39,0,3.96,AU,1681413528
153,kuusamo,65.9667,29.1833,-4.98,68,0,2.57,FI,1681413564
154,klaksvik,62.2266,-6.589,8.51,83,100,6.22,FO,1681413564
155,killybegs,54.6333,-8.45,8.84,72,62,6.12,IE,1681413565
156,yuksekova,37.5736,44.2872,1.86,87,75,4.12,TR,1681413565
157,tamiahua,21.2667,-97.45,25.88,69,99,4.83,MX,1681413565
158,ambilobe,-13.2,49.05,22.77,95,12,1.4,MG,1681413565
159,najran,17.4924,44.1277,21.36,43,32,0.9,SA,1681413566
160,thunder bay,48.4001,-89.3168,7.99,76,75,3.09,CA,1681413566
161,menongue,-14.6585,17.691,19.14,72,95,2.21,AO,1681413566
162,bastia,42.6667,9.3333,13.89,47,75,8.75,FR,1681413566
163,puerto ayora,-0.7393,-90.3518,31.98,86,100,3.13,EC,1681413567
164,marawi,7.9986,124.2928,20.54,95,10,1.05,PH,1681413567
165,nouadhibou,20.931,-17.0347,24.99,57,75,3.6,MR,1681413567
166,taksimo,56.3444,114.8794,-6.64,84,99,1.48,RU,1681413567
167,nelson bay,-32.7167,152.15,20.0,90,41,5.81,AU,1681413568
168,tocopilla,-22.092,-70.1979,22.53,70,56,3.44,CL,1681413568
169,bud,39.447,-86.1758,26.92,28,0,2.28,US,1681413568
170,kavieng,-2.5744,150.7967,28.1,78,50,5.51,PG,1681413568
171,guerrero negro,27.9769,-114.0611,17.44,56,14,7.58,MX,1681413568
172,mao,39.8885,4.2658,13.31,58,0,3.6,ES,1681413569
173,colac,-38.3333,143.5833,14.91,96,25,2.72,AU,1681413569
174,zhigansk,66.7697,123.3711,-9.2,94,99,3.13,RU,1681413569
175,kieta,-6.2167,155.6333,25.54,86,100,2.01,PG,1681413569
176,chara,56.9064,118.2631,-8.21,86,100,1.03,RU,1681413569
177,sumenep,-7.0167,113.8667,25.85,85,51,2.33,ID,1681413570
178,pontes e lacerda,-15.2261,-59.3353,28.5,82,67,0.72,BR,1681413570
179,puerto escondido,15.85,-97.0667,31.46,66,20,3.6,MX,1681413570
180,chekhov,55.1431,37.4711,11.16,61,100,7.2,RU,1681413570
181,riverton,40.5219,-111.9391,4.76,87,100,5.66,US,1681413320
182,ngunut,-8.1058,112.0159,23.94,89,100,2.18,ID,1681413571
183,saldanha,-33.0117,17.9442,16.37,80,59,3.48,ZA,1681413571
184,dingle,10.9995,122.6711,24.1,89,100,0.95,PH,1681413571
185,esperance,-33.8667,121.9,15.69,74,100,12.8,AU,1681413572
186,fortuna,40.5982,-124.1573,12.74,64,17,1.34,US,1681413572
187,cam ranh,11.9214,109.1591,27.98,83,40,1.03,VN,1681413572
188,karla,59.3723,24.9275,6.19,68,0,6.69,EE,1681413572
189,maputo,-25.9653,32.5892,26.82,70,20,6.17,MZ,1681413572
190,muncar,-8.4333,114.3333,24.44,90,100,1.85,ID,1681413573
191,nanortalik,60.1432,-45.2371,1.79,82,100,1.68,GL,1681413573
192,hilo,19.7297,-155.09,22.93,92,100,3.09,US,1681413407
193,victoria,22.2855,114.1577,24.07,89,89,3.7,HK,1681413522
194,avarua,-21.2078,-159.775,27.03,65,100,3.09,CK,1681413574
195,acajutla,13.5928,-89.8275,30.64,61,73,5.79,SV,1681413574
196,tessalit,20.1986,1.0114,31.37,9,100,4.74,ML,1681413574
197,porterville,36.0652,-119.0168,16.51,51,75,2.57,US,1681413349
198,hwange,-18.3693,26.5019,21.8,46,0,2.07,ZW,1681413575
199,bonavista,48.6499,-53.1147,-0.2,97,100,8.23,CA,1681413575
200,serenje,-13.2325,30.2352,16.09,98,35,2.06,ZM,1681413575
201,manokwari,-0.8667,134.0833,25.78,78,10,1.27,ID,1681413398
202,college,64.8569,-147.8028,-9.33,80,40,0.0,US,1681413575
203,zabol,32.25,67.25,17.22,22,0,4.82,AF,1681413578
204,terrace bay,48.7834,-87.1,6.09,89,100,2.6,CA,1681413578
205,sao jose da coroa grande,-8.8978,-35.1478,27.4,65,100,4.11,BR,1681413578
206,semey,50.4111,80.2275,8.28,46,100,3.59,KZ,1681413578
207,luba,3.4568,8.5547,26.94,83,47,3.74,GQ,1681413491
208,antofagasta,-23.65,-70.4,20.96,74,36,4.52,CL,1681413291
209,touros,-5.1989,-35.4608,27.71,76,100,5.99,BR,1681413579
210,tuatapere,-46.1333,167.6833,9.63,95,67,1.89,NZ,1681413579
211,fandriana,-20.2333,47.3833,15.49,97,100,0.45,MG,1681413580
212,lorengau,-2.0226,147.2712,27.48,81,97,5.72,PG,1681413580
213,bathsheba,13.2167,-59.5167,29.34,58,20,8.23,BB,1681413580
214,clevelandia,-26.3958,-52.4708,23.75,61,100,1.98,BR,1681413581
215,poum,-20.2333,164.0167,24.08,93,100,4.06,NC,1681413581
216,port macquarie,-31.4333,152.9167,15.5,84,81,5.44,AU,1681413351
217,carutapera,-1.195,-46.02,28.84,73,99,3.55,BR,1681413581
